127.0.0.1 - - [27/Feb/2022:22:46:20 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [27/Feb/2022:22:46:21 +0530] "GET /Medicare/ HTTP/1.1" 200 5333
0:0:0:0:0:0:0:1 - - [27/Feb/2022:22:46:21 +0530] "GET /Medicare/style.css HTTP/1.1" 200 846
0:0:0:0:0:0:0:1 - - [27/Feb/2022:22:46:21 +0530] "GET /Medicare/assets/Logo%20(2).png HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [27/Feb/2022:22:46:21 +0530] "GET /Medicare/assets/Logo%20500x500%20px.jpeg HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [27/Feb/2022:22:46:41 +0530] "GET /Medicare/signin.html HTTP/1.1" 200 3179
0:0:0:0:0:0:0:1 - - [27/Feb/2022:22:46:50 +0530] "POST /Medicare/Signin.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Feb/2022:22:46:50 +0530] "GET /Medicare/userhome.jsp HTTP/1.1" 200 5018
0:0:0:0:0:0:0:1 - - [27/Feb/2022:22:46:54 +0530] "GET /Medicare/Signout HTTP/1.1" 200 5387
0:0:0:0:0:0:0:1 - - [27/Feb/2022:22:46:59 +0530] "GET /Medicare/signup.html HTTP/1.1" 200 4762
0:0:0:0:0:0:0:1 - - [27/Feb/2022:22:47:48 +0530] "GET /Medicare/Signup?name=Ojas+Rathore&Uname=O_rathore2004&email=ojas%40gmail.com&password=Ojas2004&Contact=9575271207&address=773%2F15+Samajwadi+Indira+Nagar&Cordinates=34555 HTTP/1.1" 200 3235
0:0:0:0:0:0:0:1 - - [27/Feb/2022:22:48:31 +0530] "POST /Medicare/Signin.jsp HTTP/1.1" 500 3179
0:0:0:0:0:0:0:1 - - [27/Feb/2022:22:48:50 +0530] "POST /Medicare/Signin.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Feb/2022:22:48:50 +0530] "GET /Medicare/userhome.jsp HTTP/1.1" 200 5022
0:0:0:0:0:0:0:1 - - [27/Feb/2022:22:48:59 +0530] "POST /Medicare/Signin.jsp HTTP/1.1" 500 3179
0:0:0:0:0:0:0:1 - - [27/Feb/2022:22:49:36 +0530] "POST /Medicare/Signin.jsp HTTP/1.1" 500 3179
0:0:0:0:0:0:0:1 - - [27/Feb/2022:22:49:44 +0530] "POST /Medicare/Signin.jsp HTTP/1.1" 500 3179
0:0:0:0:0:0:0:1 - - [27/Feb/2022:22:51:02 +0530] "POST /Medicare/Signin.jsp HTTP/1.1" 500 3179
0:0:0:0:0:0:0:1 - - [27/Feb/2022:22:51:05 +0530] "POST /Medicare/Signin.jsp HTTP/1.1" 500 3179
0:0:0:0:0:0:0:1 - - [27/Feb/2022:22:51:13 +0530] "POST /Medicare/Signin.jsp HTTP/1.1" 500 3179
0:0:0:0:0:0:0:1 - - [27/Feb/2022:22:53:03 +0530] "POST /Medicare/Signin.jsp HTTP/1.1" 500 2568
0:0:0:0:0:0:0:1 - - [27/Feb/2022:22:53:03 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [27/Feb/2022:22:53:48 +0530] "POST /Medicare/Signin.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Feb/2022:22:53:48 +0530] "GET /Medicare/signin.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2022:22:53:55 +0530] "POST /Medicare/Signin.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Feb/2022:22:53:55 +0530] "GET /Medicare/signin.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2022:22:54:21 +0530] "GET /Medicare/signin.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2022:22:54:23 +0530] "GET /Medicare/signin.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2022:22:54:23 +0530] "GET /Medicare/signin.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2022:22:54:30 +0530] "POST /Medicare/Signin.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Feb/2022:22:54:30 +0530] "GET /Medicare/signin.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2022:23:05:08 +0530] "GET /Medicare/signin.html HTTP/1.1" 200 3179
0:0:0:0:0:0:0:1 - - [27/Feb/2022:23:05:22 +0530] "GET /Medicare/index.html HTTP/1.1" 200 5333
0:0:0:0:0:0:0:1 - - [27/Feb/2022:23:05:24 +0530] "GET /Medicare/signup.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2022:23:05:25 +0530] "GET /Medicare/ClinicSignup.html HTTP/1.1" 200 6111
0:0:0:0:0:0:0:1 - - [27/Feb/2022:23:06:13 +0530] "GET /Medicare/ClinicSignup.html?cname=Tanvi+Rathore+clinic&docname=Tanvi+Rathore&speciality=rtt&email=clinic%40gmail.com&pwd=Clinic001&contact=9575271207&add=773%2F15+Samajwadi+Indira+Nagar&fee=200&help=ggfdss&location=344444&time=auiduju&img=react.png HTTP/1.1" 200 6111
