127.0.0.1 - - [09/Apr/2022:13:53:31 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [09/Apr/2022:13:53:32 +0530] "GET /Medicare/ HTTP/1.1" 200 5333
0:0:0:0:0:0:0:1 - - [09/Apr/2022:13:53:32 +0530] "GET /Medicare/style.css HTTP/1.1" 200 846
0:0:0:0:0:0:0:1 - - [09/Apr/2022:13:53:32 +0530] "GET /Medicare/assets/Logo%20500x500%20px.jpeg HTTP/1.1" 200 13974
0:0:0:0:0:0:0:1 - - [09/Apr/2022:13:53:32 +0530] "GET /Medicare/assets/Logo%20(2).png HTTP/1.1" 200 8429
0:0:0:0:0:0:0:1 - - [09/Apr/2022:13:53:34 +0530] "GET /Medicare/assets/logo$.png HTTP/1.1" 200 5036
0:0:0:0:0:0:0:1 - - [09/Apr/2022:13:53:58 +0530] "GET /Medicare/signin.html HTTP/1.1" 200 3179
0:0:0:0:0:0:0:1 - - [09/Apr/2022:13:54:36 +0530] "POST /Medicare/Signin.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Apr/2022:13:54:36 +0530] "GET /Medicare/signin.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2022:13:56:07 +0530] "POST /Medicare/Signin.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Apr/2022:13:56:07 +0530] "GET /Medicare/userhome.jsp HTTP/1.1" 200 5005
0:0:0:0:0:0:0:1 - - [09/Apr/2022:13:57:06 +0530] "GET /Medicare/Profile.html HTTP/1.1" 200 2009
0:0:0:0:0:0:0:1 - - [09/Apr/2022:13:57:42 +0530] "GET /Medicare/page.html HTTP/1.1" 200 1994
0:0:0:0:0:0:0:1 - - [09/Apr/2022:14:20:21 +0530] "GET /Medicare/page.html HTTP/1.1" 200 2075
0:0:0:0:0:0:0:1 - - [09/Apr/2022:14:44:39 +0530] "GET /Medicare/page.html HTTP/1.1" 200 2180
0:0:0:0:0:0:0:1 - - [09/Apr/2022:14:47:07 +0530] "GET /Medicare/page.html HTTP/1.1" 200 2168
0:0:0:0:0:0:0:1 - - [09/Apr/2022:14:48:53 +0530] "GET /Medicare/page.html HTTP/1.1" 200 2213
0:0:0:0:0:0:0:1 - - [09/Apr/2022:14:48:54 +0530] "GET /Medicare/images/react.png HTTP/1.1" 200 3933
0:0:0:0:0:0:0:1 - - [09/Apr/2022:14:50:04 +0530] "GET /Medicare/page.html HTTP/1.1" 200 2224
0:0:0:0:0:0:0:1 - - [09/Apr/2022:14:50:37 +0530] "GET /Medicare/page.html HTTP/1.1" 200 2353
0:0:0:0:0:0:0:1 - - [09/Apr/2022:14:53:33 +0530] "GET /Medicare/page.html HTTP/1.1" 200 2387
0:0:0:0:0:0:0:1 - - [09/Apr/2022:14:54:23 +0530] "GET /Medicare/page.html HTTP/1.1" 200 2567
0:0:0:0:0:0:0:1 - - [09/Apr/2022:14:55:57 +0530] "GET /Medicare/page.html HTTP/1.1" 200 2597
0:0:0:0:0:0:0:1 - - [09/Apr/2022:14:57:57 +0530] "GET /Medicare/page.html HTTP/1.1" 200 2219
0:0:0:0:0:0:0:1 - - [09/Apr/2022:14:59:42 +0530] "GET /Medicare/page.html HTTP/1.1" 200 2478
0:0:0:0:0:0:0:1 - - [09/Apr/2022:15:00:03 +0530] "GET /Medicare/page.html HTTP/1.1" 200 2478
0:0:0:0:0:0:0:1 - - [09/Apr/2022:15:00:32 +0530] "GET /Medicare/page.html HTTP/1.1" 200 2824
0:0:0:0:0:0:0:1 - - [09/Apr/2022:15:02:37 +0530] "GET /Medicare/page.html HTTP/1.1" 200 2348
0:0:0:0:0:0:0:1 - - [09/Apr/2022:15:03:30 +0530] "GET /Medicare/page.html HTTP/1.1" 200 2478
0:0:0:0:0:0:0:1 - - [09/Apr/2022:15:05:02 +0530] "GET /Medicare/page.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2022:15:07:43 +0530] "GET /Medicare/page.html HTTP/1.1" 200 2554
